"org" "year" "approve" "disapprove" "date"
"FOX News" 2010 47 45 "2010-06-30"
"Rasmussen Reports" 2012 45 53 "2012-01-04"
"National Journal/FD" 2011 44 50 "2011-10-02"
"CBS News/NY Times" 2011 49 39 "2011-01-19"
"Gallup" 2012 48 46 "2012-04-27"
"Pew Research" 2011 50 39 "2011-05-08"
"Gallup" 2010 47 46 "2010-09-18"
"Pew Research" 2010 44 44 "2010-11-07"
"Reuters/Ipsos" 2012 47 49 "2012-01-09"
"Gallup" 2011 46 44 "2011-03-13"
"Democracy Corps (D)" 2010 48 46 "2010-04-20"
"CBS News/NY Times" 2013 47 45 "2013-04-28"
"McClatchy/Marist" 2012 50 44 "2012-12-06"
"Reuters/Ipsos" 2011 50 47 "2011-01-10"
"Reuters/Ipsos" 2011 49 47 "2011-03-06"
"Gallup" 2011 46 48 "2011-01-06"
"CNN/Opinion Research" 2010 42 54 "2010-09-23"
"Rasmussen Reports" 2010 45 53 "2010-08-14"
"Quinnipiac" 2013 45 49 "2013-05-28"
"GWU/Battleground" 2010 50 47 "2010-04-08"
"Rasmussen Reports" 2010 45 54 "2010-04-24"
"Associated Press/GfK" 2010 49 50 "2010-08-16"
"Rasmussen Reports" 2010 44 55 "2010-07-16"
"CNN/Opinion Research" 2011 44 54 "2011-08-07"
"Rasmussen Reports" 2011 48 51 "2011-02-28"
"Reuters/Ipsos" 2011 51 46 "2011-02-07"
"Gallup" 2010 42 49 "2010-08-14"
"NBC News/Wall St. Jrnl" 2011 53 41 "2011-01-17"
"National Journal/FD" 2011 44 49 "2011-12-04"
"Gallup" 2011 42 50 "2011-09-03"
"McClatchy/Marist" 2010 45 48 "2010-11-18"
"CBS News/NY Times" 2012 41 47 "2012-03-11"
"Gallup" 2012 45 48 "2012-02-11"
"NBC News/Wall St. Jrnl" 2012 50 48 "2012-09-16"
"Reuters/Ipsos" 2010 43 53 "2010-10-11"
"FOX News" 2010 43 50 "2010-07-28"
"Associated Press/GfK" 2010 49 50 "2010-05-11"
"Pew Research" 2012 46 45 "2012-04-15"
"National Journal" 2013 46 49 "2013-04-09"
"Newsweek*" 2010 54 40 "2010-10-21"
"NBC News/Wall St. Jrnl" 2011 44 51 "2011-08-31"
"Politico/GWU/Battleground" 2011 52 44 "2011-05-12"
"Associated Press/GfK" 2011 60 39 "2011-05-09"
"Politico/GWU/Battleground" 2012 49 50 "2012-08-09"
"Reason-Rupe/PSRAI" 2012 51 46 "2012-09-17"
"NBC News/Wall St. Jrnl" 2010 47 47 "2010-11-15"
"FOX News" 2010 41 50 "2010-10-28"
"CBS News" 2010 45 45 "2010-11-10"
"Rasmussen Reports" 2010 46 53 "2010-04-03"
"Reuters/Ipsos" 2013 45 50 "2013-06-04"
"CNN/Opinion Research" 2011 55 44 "2011-01-23"
"The Economist/YouGov" 2013 46 52 "2013-06-10"
"Bloomberg" 2010 47 48 "2010-10-10"
"NBC News/Wall St. Jrnl" 2010 45 50 "2010-10-30"
"CNN/Opinion Research" 2011 45 54 "2011-08-25"
"Rasmussen Reports" 2011 44 55 "2011-09-03"
"Reuters/Ipsos" 2011 47 50 "2011-10-10"
"Reuters/Ipsos" 2011 47 48 "2011-09-12"
"Rasmussen Reports" 2011 45 53 "2011-12-10"
"ABC News/Wash Post" 2011 51 45 "2011-03-13"
"Gallup" 2011 44 48 "2011-07-17"
"ABC News/Wash Post" 2011 49 47 "2011-12-18"
"CNN/Opinion Research" 2011 53 45 "2011-01-16"
"Quinnipiac" 2012 53 40 "2012-12-03"
"Gallup" 2011 39 53 "2011-08-15"
